Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,room_type_reserved,lead_time,arrival_date,market_segment_type,avg_price_per_room,booking_status
INN00050,1,0,1,3,Meal Plan 1,Room_Type 4,7,"Saturday, December 29, 2018",Online,125.8,Not_Canceled
INN00051,1,0,2,5,Not Selected,Room_Type 1,124,"Wednesday, May 30, 2018",Online,87.95,Not_Canceled
INN00052,2,0,2,2,Meal Plan 2,Room_Type 1,169,"Sunday, April 22, 2018",Online,106,Canceled
INN00053,1,0,1,2,Meal Plan 1,Room_Type 1,6,"Wednesday, May 16, 2018",Online,136.67,Not_Canceled
INN00054,2,0,0,4,Meal Plan 1,Room_Type 4,51,"Saturday, November 11, 2017",Offline,60,Not_Canceled
INN00055,2,0,1,0,Not Selected,Room_Type 1,13,"Wednesday, June 13, 2018",Online,89,Not_Canceled
INN00056,2,0,1,3,Meal Plan 1,Room_Type 1,100,"Saturday, May 19, 2018",Online,136,Not_Canceled
INN00057,2,0,0,1,Not Selected,Room_Type 1,139,"Saturday, July 28, 2018",Online,94.5,Not_Canceled
INN00058,2,0,1,2,Meal Plan 1,Room_Type 1,117,"Wednesday, December 26, 2018",Online,93.6,Not_Canceled
INN00059,2,0,1,4,Meal Plan 1,Room_Type 4,39,"Friday, April 20, 2018",Online,120.6,Canceled
INN00060,2,0,0,3,Meal Plan 1,Room_Type 4,86,"Monday, June 4, 2018",Online,99.3,Not_Canceled
INN00061,2,2,0,1,Meal Plan 1,Room_Type 6,2,"Friday, February 9, 2018",Online,258,Not_Canceled
INN00062,1,0,0,3,Meal Plan 1,Room_Type 4,19,"Monday, March 5, 2018",Online,120.12,Not_Canceled
INN00063,1,0,0,2,Meal Plan 1,Room_Type 1,192,"Sunday, June 24, 2018",Offline,95,Not_Canceled
INN00064,1,0,0,1,Meal Plan 1,Room_Type 1,2,"Monday, October 9, 2017",Complementary,0,Not_Canceled
INN00065,2,0,2,1,Meal Plan 1,Room_Type 1,86,"Tuesday, December 18, 2018",Offline,75,Not_Canceled
INN00066,2,0,0,3,Meal Plan 1,Room_Type 4,30,"Thursday, May 10, 2018",Online,157.5,Not_Canceled
INN00067,2,0,0,2,Meal Plan 1,Room_Type 4,179,"Tuesday, March 6, 2018",Online,97.7,Not_Canceled
INN00068,2,0,0,2,Meal Plan 1,Room_Type 4,26,"Sunday, April 15, 2018",Online,142,Canceled
INN00069,2,0,0,1,Meal Plan 1,Room_Type 1,55,"Monday, June 4, 2018",Offline,80,Not_Canceled
INN00070,2,0,1,2,Meal Plan 1,Room_Type 1,74,"Wednesday, April 25, 2018",Online,85.5,Not_Canceled
INN00071,2,0,0,3,Meal Plan 1,Room_Type 1,143,"Saturday, August 25, 2018",Offline,100,Not_Canceled
INN00072,2,0,1,0,Not Selected,Room_Type 1,34,"Wednesday, November 14, 2018",Online,88,Not_Canceled
INN00073,2,0,1,1,Meal Plan 1,Room_Type 1,30,"Wednesday, August 29, 2018",Online,122.85,Not_Canceled
INN00074,2,0,0,2,Meal Plan 1,Room_Type 1,177,"Tuesday, March 6, 2018",Online,100,Canceled
INN00075,2,0,2,3,Meal Plan 1,Room_Type 4,34,"Wednesday, October 25, 2017",Offline,75,Not_Canceled
INN00076,2,0,1,4,Meal Plan 1,Room_Type 4,18,"Monday, September 3, 2018",Online,116.8,Not_Canceled
INN00077,3,0,1,1,Meal Plan 1,Room_Type 4,267,"Monday, December 31, 2018",Online,121.5,Not_Canceled
INN00078,2,0,1,2,Meal Plan 1,Room_Type 1,64,"Wednesday, June 27, 2018",Online,111.9,Not_Canceled
INN00079,3,0,2,5,Meal Plan 1,Room_Type 4,155,"Thursday, June 28, 2018",Online,121.55,Canceled
INN00080,2,0,0,5,Meal Plan 1,Room_Type 1,46,"Thursday, March 29, 2018",Offline,75,Not_Canceled
INN00081,2,2,0,2,Meal Plan 1,Room_Type 6,83,"Thursday, January 4, 2018",Online,159.3,Canceled
INN00082,2,0,0,5,Meal Plan 1,Room_Type 4,128,"Saturday, November 10, 2018",Online,132.3,Canceled
INN00083,2,0,2,0,Not Selected,Room_Type 1,20,"Tuesday, December 25, 2018",Online,88,Not_Canceled
INN00084,2,0,1,4,Meal Plan 1,Room_Type 4,40,"Wednesday, March 14, 2018",Online,98.82,Not_Canceled
INN00085,2,0,1,2,Meal Plan 1,Room_Type 4,46,"Tuesday, April 3, 2018",Online,98.3,Not_Canceled
INN00086,1,0,1,0,Meal Plan 1,Room_Type 1,1,"Wednesday, October 17, 2018",Online,150,Not_Canceled
INN00087,2,0,2,3,Not Selected,Room_Type 1,196,"Monday, April 9, 2018",Online,96.05,Not_Canceled
INN00088,1,0,0,2,Meal Plan 1,Room_Type 1,188,"Friday, June 15, 2018",Online,130,Canceled
INN00089,2,0,0,1,Not Selected,Room_Type 1,17,"Friday, October 12, 2018",Online,95,Not_Canceled
INN00090,2,0,0,3,Meal Plan 1,Room_Type 5,146,"Saturday, September 8, 2018",Offline,113.56,Not_Canceled
INN00091,2,0,1,3,Not Selected,Room_Type 1,110,"Saturday, May 5, 2018",Online,101.58,Not_Canceled
INN00092,2,0,1,2,Meal Plan 1,Room_Type 1,68,"Sunday, March 18, 2018",Online,105.3,Not_Canceled
INN00093,2,0,2,1,Meal Plan 1,Room_Type 4,73,"Tuesday, September 4, 2018",Online,115.8,Not_Canceled
INN00094,2,0,0,1,Meal Plan 1,Room_Type 4,92,"Saturday, May 19, 2018",Online,149.4,Not_Canceled
INN00095,2,0,2,5,Meal Plan 1,Room_Type 1,171,"Thursday, August 30, 2018",Online,111.59,Canceled
INN00096,2,1,0,2,Meal Plan 1,Room_Type 1,134,"Sunday, April 8, 2018",Online,130.5,Not_Canceled
INN00097,2,0,0,2,Meal Plan 2,Room_Type 1,320,"Saturday, August 18, 2018",Online,115,Canceled
INN00098,2,0,0,4,Meal Plan 1,Room_Type 1,118,"Friday, April 13, 2018",Online,90.95,Not_Canceled
INN00099,2,0,0,3,Meal Plan 1,Room_Type 1,30,"Saturday, November 17, 2018",Online,76.08,Not_Canceled
INN00100,2,2,1,3,Meal Plan 1,Room_Type 6,30,"Saturday, December 22, 2018",Online,156.9,Not_Canceled
INN00101,2,0,1,0,Not Selected,Room_Type 1,189,"Tuesday, October 23, 2018",Online,85.5,Not_Canceled
INN00102,3,0,1,2,Meal Plan 1,Room_Type 4,55,"Sunday, May 13, 2018",Online,159.3,Not_Canceled
INN00103,1,0,0,4,Meal Plan 1,Room_Type 1,55,"Thursday, December 13, 2018",Online,74.8,Not_Canceled
INN00104,2,0,0,1,Meal Plan 1,Room_Type 1,16,"Tuesday, October 31, 2017",Online,95,Not_Canceled
INN00105,2,0,0,3,Meal Plan 1,Room_Type 1,24,"Thursday, August 10, 2017",Online,107,Not_Canceled
INN00106,2,0,0,3,Meal Plan 1,Room_Type 1,8,"Friday, February 16, 2018",Offline,64,Not_Canceled
INN00107,2,0,1,4,Meal Plan 1,Room_Type 1,10,"Saturday, February 11, 2017",Online,82.95,Not_Canceled
INN00108,2,0,1,3,Meal Plan 1,Room_Type 4,0,"Thursday, September 21, 2017",Online,155,Not_Canceled
INN00109,2,0,0,1,Not Selected,Room_Type 1,12,"Saturday, June 30, 2018",Online,101.68,Not_Canceled
INN00110,2,0,2,1,Meal Plan 1,Room_Type 1,32,"Tuesday, May 9, 2017",Online,94.5,Not_Canceled
INN00111,2,0,0,2,Meal Plan 1,Room_Type 1,182,"Sunday, September 30, 2018",Online,117.9,Canceled
INN00112,2,0,1,0,Not Selected,Room_Type 1,1,"Wednesday, June 27, 2018",Online,127,Not_Canceled
INN00113,2,0,0,3,Not Selected,Room_Type 1,122,"Saturday, June 16, 2018",Online,116.1,Not_Canceled
INN00114,2,0,2,3,Meal Plan 1,Room_Type 1,40,"Saturday, June 30, 2018",Online,117.9,Not_Canceled
INN00115,2,2,2,2,Meal Plan 1,Room_Type 2,116,"Tuesday, June 26, 2018",Online,184.24,Canceled
INN00116,3,0,2,2,Meal Plan 1,Room_Type 4,123,"Monday, August 13, 2018",Online,155.7,Not_Canceled
INN00117,3,0,2,5,Meal Plan 1,Room_Type 4,40,"Sunday, April 22, 2018",Online,135.76,Canceled
INN00118,2,1,2,5,Meal Plan 1,Room_Type 1,105,"Tuesday, December 11, 2018",Online,102.83,Not_Canceled
INN00119,2,0,0,1,Meal Plan 1,Room_Type 1,443,"Sunday, April 29, 2018",Online,65,Canceled
INN00120,2,0,2,3,Meal Plan 1,Room_Type 1,2,"Tuesday, November 14, 2017",Online,103,Not_Canceled
INN00121,2,0,0,3,Meal Plan 1,Room_Type 1,317,"Tuesday, January 9, 2018",Online,106.2,Canceled
INN00122,2,0,0,2,Meal Plan 2,Room_Type 1,286,"Sunday, September 16, 2018",Offline,58.5,Not_Canceled
INN00123,2,0,1,3,Meal Plan 1,Room_Type 1,68,"Wednesday, October 3, 2018",Online,73.95,Canceled
INN00124,2,0,0,3,Meal Plan 1,Room_Type 1,148,"Saturday, May 5, 2018",Online,105.3,Not_Canceled
INN00125,3,0,2,0,Meal Plan 1,Room_Type 4,68,"Tuesday, April 24, 2018",Online,133.2,Not_Canceled
INN00126,2,0,0,2,Meal Plan 1,Room_Type 1,30,"Friday, March 30, 2018",Offline,85.5,Not_Canceled
INN00127,1,0,0,1,Meal Plan 1,Room_Type 1,14,"Sunday, March 11, 2018",Online,112,Canceled
INN00128,2,2,0,2,Meal Plan 1,Room_Type 6,110,"Sunday, October 14, 2018",Online,190.8,Canceled
INN00129,1,0,2,3,Meal Plan 1,Room_Type 1,117,"Sunday, May 6, 2018",Offline,110,Not_Canceled
INN00130,2,0,1,4,Meal Plan 1,Room_Type 4,85,"Friday, July 13, 2018",Online,91.48,Not_Canceled
INN00131,2,0,0,2,Not Selected,Room_Type 1,1,"Saturday, October 20, 2018",Online,135,Not_Canceled
INN00132,1,0,1,2,Meal Plan 1,Room_Type 1,25,"Wednesday, October 17, 2018",Online,129,Not_Canceled
INN00133,2,0,2,4,Not Selected,Room_Type 1,289,"Friday, December 28, 2018",Online,70.55,Canceled
INN00134,2,0,1,4,Meal Plan 1,Room_Type 4,28,"Thursday, October 19, 2017",Offline,75,Not_Canceled
INN00135,1,0,0,4,Not Selected,Room_Type 1,80,"Thursday, March 29, 2018",Online,72.25,Not_Canceled
INN00136,2,0,0,1,Meal Plan 1,Room_Type 4,11,"Sunday, September 10, 2017",Online,155,Not_Canceled
INN00137,2,1,1,0,Meal Plan 1,Room_Type 1,162,"Wednesday, July 25, 2018",Online,121.5,Canceled
INN00138,2,0,2,5,Meal Plan 1,Room_Type 1,155,"Thursday, June 28, 2018",Online,90.95,Not_Canceled
INN00139,1,0,2,2,Meal Plan 1,Room_Type 1,82,"Tuesday, May 22, 2018",Online,109.65,Not_Canceled
INN00140,3,0,2,4,Meal Plan 1,Room_Type 4,27,"Sunday, April 15, 2018",Online,142.72,Canceled
INN00141,1,0,1,2,Meal Plan 1,Room_Type 1,13,"Wednesday, September 5, 2018",Offline,90,Not_Canceled
INN00142,2,0,0,2,Meal Plan 1,Room_Type 1,245,"Sunday, June 17, 2018",Online,75,Canceled
INN00143,2,0,0,2,Meal Plan 1,Room_Type 1,11,"Sunday, November 18, 2018",Online,111,Canceled
INN00144,2,0,2,2,Meal Plan 1,Room_Type 1,266,"Tuesday, October 30, 2018",Online,86.7,Not_Canceled
INN00145,2,0,1,0,Meal Plan 1,Room_Type 1,39,"Wednesday, March 28, 2018",Online,117.9,Not_Canceled
INN00146,1,0,0,2,Meal Plan 1,Room_Type 1,13,"Saturday, January 6, 2018",Complementary,0,Not_Canceled
INN00147,2,0,0,4,Not Selected,Room_Type 1,112,"Thursday, April 5, 2018",Online,101.58,Not_Canceled
INN00148,2,0,1,2,Not Selected,Room_Type 1,88,"Saturday, August 4, 2018",Online,58.9,Not_Canceled
INN00149,2,0,0,1,Meal Plan 1,Room_Type 1,56,"Monday, August 6, 2018",Offline,120,Not_Canceled
INN00150,2,0,2,3,Meal Plan 1,Room_Type 4,73,"Wednesday, July 4, 2018",Online,107.1,Canceled
INN00151,2,0,1,1,Meal Plan 1,Room_Type 1,80,"Monday, February 5, 2018",Online,126.9,Not_Canceled
INN00152,2,0,0,3,Meal Plan 1,Room_Type 4,130,"Saturday, September 29, 2018",Online,139.5,Canceled
INN00153,2,0,1,3,Not Selected,Room_Type 1,69,"Wednesday, April 4, 2018",Online,80.75,Not_Canceled
INN00154,2,0,0,2,Meal Plan 2,Room_Type 1,273,"Monday, July 17, 2017",Online,109,Canceled
INN00155,2,0,0,1,Meal Plan 2,Room_Type 1,55,"Monday, June 4, 2018",Offline,104,Not_Canceled
INN00156,1,0,0,3,Meal Plan 1,Room_Type 1,4,"Thursday, January 11, 2018",Corporate,65,Not_Canceled
INN00157,2,0,0,3,Meal Plan 1,Room_Type 4,97,"Thursday, May 24, 2018",Online,140.4,Not_Canceled
INN00158,2,0,0,3,Meal Plan 1,Room_Type 1,44,"Saturday, February 17, 2018",Offline,75,Not_Canceled
INN00159,2,0,0,1,Not Selected,Room_Type 1,31,"Saturday, April 14, 2018",Online,94.5,Canceled
INN00160,2,0,1,0,Not Selected,Room_Type 1,0,"Sunday, May 6, 2018",Online,109,Not_Canceled
INN00161,2,0,2,2,Meal Plan 1,Room_Type 1,62,"Tuesday, December 11, 2018",Online,105,Not_Canceled
INN00162,2,0,2,2,Meal Plan 1,Room_Type 4,86,"Tuesday, April 17, 2018",Online,107.95,Not_Canceled
INN00163,3,0,2,2,Meal Plan 1,Room_Type 7,3,"Tuesday, July 10, 2018",Online,215.6,Not_Canceled
INN00164,2,0,1,1,Not Selected,Room_Type 1,197,"Monday, January 8, 2018",Online,85.5,Not_Canceled
INN00165,2,0,0,2,Meal Plan 1,Room_Type 1,143,"Friday, December 7, 2018",Online,105.3,Not_Canceled
INN00166,1,0,2,1,Meal Plan 2,Room_Type 1,23,"Thursday, February 1, 2018",Online,1,Not_Canceled
INN00167,2,0,0,2,Meal Plan 1,Room_Type 4,8,"Friday, June 15, 2018",Online,156,Canceled
INN00168,1,0,0,2,Meal Plan 1,Room_Type 1,13,"Friday, November 16, 2018",Online,73.15,Not_Canceled
INN00169,2,0,1,2,Meal Plan 1,Room_Type 1,280,"Wednesday, September 19, 2018",Online,110,Canceled
INN00170,2,1,1,0,Not Selected,Room_Type 1,11,"Wednesday, September 13, 2017",Online,87.4,Not_Canceled
INN00171,2,0,0,2,Meal Plan 1,Room_Type 1,317,"Saturday, September 15, 2018",Online,120,Canceled
INN00172,2,0,1,2,Not Selected,Room_Type 1,185,"Sunday, December 16, 2018",Online,79.2,Canceled
INN00173,2,0,1,3,Meal Plan 1,Room_Type 1,160,"Saturday, June 30, 2018",Online,90.95,Not_Canceled
INN00174,2,0,0,4,Meal Plan 1,Room_Type 1,104,"Thursday, October 18, 2018",Online,91.48,Not_Canceled
INN00175,2,1,0,1,Meal Plan 1,Room_Type 1,11,"Friday, May 11, 2018",Online,150,Canceled
INN00176,2,0,0,1,Not Selected,Room_Type 1,2,"Thursday, March 22, 2018",Online,89,Not_Canceled
INN00177,2,0,1,4,Not Selected,Room_Type 1,14,"Friday, August 17, 2018",Online,91.43,Not_Canceled
INN00178,2,0,0,2,Meal Plan 1,Room_Type 1,22,"Sunday, May 20, 2018",Offline,140,Not_Canceled
INN00179,1,1,2,5,Not Selected,Room_Type 1,37,"Tuesday, October 24, 2017",Online,87.78,Not_Canceled
INN00180,2,0,0,2,Meal Plan 2,Room_Type 1,292,"Saturday, July 21, 2018",Online,115,Canceled
INN00181,2,0,0,3,Meal Plan 1,Room_Type 1,11,"Saturday, September 9, 2017",Online,80.85,Not_Canceled
INN00182,2,0,1,3,Meal Plan 1,Room_Type 1,86,"Saturday, March 31, 2018",Online,82.45,Not_Canceled
INN00183,2,0,0,1,Not Selected,Room_Type 1,109,"Saturday, November 10, 2018",Online,108,Canceled
INN00184,2,0,1,1,Meal Plan 1,Room_Type 4,72,"Sunday, February 4, 2018",Online,96.3,Not_Canceled
INN00185,2,0,1,5,Meal Plan 1,Room_Type 1,196,"Wednesday, August 22, 2018",Online,99.45,Canceled
INN00186,2,0,0,2,Meal Plan 1,Room_Type 4,56,"Sunday, May 13, 2018",Online,140.4,Not_Canceled
INN00187,2,0,1,3,Meal Plan 1,Room_Type 1,189,"Wednesday, August 8, 2018",Offline,72.25,Not_Canceled
INN00188,2,0,1,4,Meal Plan 1,Room_Type 4,126,"Wednesday, August 15, 2018",Online,126,Not_Canceled
INN00189,2,0,2,3,Meal Plan 1,Room_Type 1,303,"Sunday, August 19, 2018",Online,78,Canceled
INN00190,1,0,2,2,Meal Plan 1,Room_Type 4,81,"Monday, June 11, 2018",Online,146.6,Not_Canceled
INN00191,2,0,1,2,Meal Plan 1,Room_Type 1,54,"Wednesday, October 10, 2018",Online,118.8,Canceled
INN00192,1,0,0,1,Meal Plan 1,Room_Type 1,15,"Sunday, June 10, 2018",Online,145,Canceled
INN00193,2,0,0,4,Meal Plan 1,Room_Type 1,86,"Monday, June 4, 2018",Online,84.58,Canceled
INN00194,2,0,1,2,Meal Plan 2,Room_Type 1,161,"Sunday, March 25, 2018",Online,130,Canceled
INN00195,2,0,4,10,Meal Plan 1,Room_Type 4,147,"Thursday, March 8, 2018",Online,118.88,Canceled
INN00196,2,0,1,2,Meal Plan 1,Room_Type 1,92,"Wednesday, May 30, 2018",Offline,101.52,Not_Canceled
INN00197,2,0,0,1,Meal Plan 1,Room_Type 1,87,"Thursday, November 9, 2017",Corporate,100,Canceled
INN00198,2,0,2,1,Meal Plan 1,Room_Type 1,109,"Tuesday, March 20, 2018",Offline,58,Not_Canceled
INN00199,2,0,0,4,Meal Plan 1,Room_Type 1,127,"Friday, March 23, 2018",Offline,61.5,Not_Canceled
INN00200,2,0,1,2,Meal Plan 2,Room_Type 1,418,"Wednesday, September 26, 2018",Online,107,Canceled
INN00201,2,0,1,4,Not Selected,Room_Type 1,156,"Friday, August 24, 2018",Online,87.3,Not_Canceled
INN00202,2,0,0,2,Meal Plan 1,Room_Type 1,80,"Sunday, July 16, 2017",Online,76.5,Canceled
INN00203,2,0,2,2,Not Selected,Room_Type 1,211,"Sunday, December 16, 2018",Online,63.75,Canceled
INN00204,2,0,1,2,Meal Plan 1,Room_Type 1,273,"Sunday, May 13, 2018",Online,95,Canceled
INN00205,2,0,2,1,Meal Plan 1,Room_Type 1,58,"Monday, November 19, 2018",Offline,75,Not_Canceled
INN00206,2,0,0,3,Meal Plan 1,Room_Type 1,433,"Thursday, August 9, 2018",Online,70,Canceled
INN00207,2,0,1,3,Meal Plan 1,Room_Type 1,111,"Monday, February 5, 2018",Online,101.58,Not_Canceled
INN00208,2,0,2,3,Meal Plan 1,Room_Type 1,34,"Tuesday, August 21, 2018",Offline,85,Not_Canceled
INN00209,2,0,2,4,Meal Plan 1,Room_Type 1,17,"Monday, March 12, 2018",Online,98.39,Not_Canceled
INN00210,1,0,0,0,Meal Plan 1,Room_Type 1,4,"Tuesday, February 27, 2018",Complementary,0,Not_Canceled
INN00211,2,0,0,3,Meal Plan 1,Room_Type 1,6,"Friday, September 22, 2017",Online,106.07,Not_Canceled
INN00212,2,0,1,1,Meal Plan 1,Room_Type 1,32,"Wednesday, July 18, 2018",Offline,105,Not_Canceled
INN00213,2,0,0,1,Meal Plan 1,Room_Type 1,4,"Friday, September 22, 2017",Online,145,Not_Canceled
INN00214,3,0,2,1,Meal Plan 1,Room_Type 1,195,"Monday, August 13, 2018",Online,106.03,Canceled
INN00215,2,0,2,2,Meal Plan 1,Room_Type 1,119,"Monday, August 13, 2018",Online,114.3,Not_Canceled
INN00216,1,0,1,1,Not Selected,Room_Type 1,13,"Saturday, May 12, 2018",Online,88,Not_Canceled
INN00217,2,0,0,2,Meal Plan 1,Room_Type 1,59,"Sunday, October 15, 2017",Online,89.25,Not_Canceled
INN00218,2,1,2,5,Meal Plan 1,Room_Type 4,78,"Tuesday, March 20, 2018",Online,86.32,Not_Canceled
INN00219,2,0,0,3,Meal Plan 1,Room_Type 1,335,"Saturday, October 13, 2018",Offline,90,Not_Canceled
INN00220,2,0,2,5,Meal Plan 1,Room_Type 1,103,"Tuesday, August 22, 2017",Online,55.96,Not_Canceled
INN00221,1,0,0,2,Not Selected,Room_Type 1,0,"Monday, August 6, 2018",Online,109,Not_Canceled
INN00222,2,0,0,1,Meal Plan 1,Room_Type 1,118,"Wednesday, January 3, 2018",Offline,86,Not_Canceled
INN00223,2,0,1,5,Meal Plan 1,Room_Type 1,56,"Wednesday, May 9, 2018",Online,118.95,Not_Canceled
INN00224,2,0,0,2,Meal Plan 1,Room_Type 1,107,"Saturday, October 6, 2018",Offline,130,Not_Canceled
INN00225,2,0,1,3,Not Selected,Room_Type 1,70,"Saturday, April 14, 2018",Online,90.56,Not_Canceled
INN00226,2,0,0,2,Meal Plan 1,Room_Type 1,76,"Thursday, January 4, 2018",Online,87.3,Not_Canceled
INN00227,2,2,2,2,Meal Plan 1,Room_Type 6,144,"Sunday, May 27, 2018",Online,177.65,Canceled
INN00228,1,2,2,2,Meal Plan 1,Room_Type 6,4,"Tuesday, September 19, 2017",Online,200.75,Not_Canceled
INN00229,2,1,0,2,Meal Plan 1,Room_Type 1,15,"Sunday, March 18, 2018",Online,127,Not_Canceled
INN00230,1,0,1,2,Meal Plan 1,Room_Type 1,32,"Wednesday, May 2, 2018",Online,72.9,Canceled
INN00231,3,0,1,1,Meal Plan 1,Room_Type 4,49,"Thursday, July 5, 2018",Online,159.3,Canceled
INN00232,2,1,1,3,Meal Plan 1,Room_Type 1,77,"Wednesday, December 5, 2018",Online,135.15,Not_Canceled
INN00233,1,0,0,2,Meal Plan 1,Room_Type 1,22,"Sunday, October 28, 2018",Offline,90,Not_Canceled
INN00234,2,0,1,0,Not Selected,Room_Type 1,0,"Wednesday, October 18, 2017",Online,114,Not_Canceled
