Serial_number,Brand_name,Price,DiscountPrice,Quantity,gender,age
58,Colgate,488,429.45,2x500 g,female,30
59,BB Royal,70,57,1 kg,female,30
60,BB Royal,700,545,10 kg,female,30
61,BB Royal,1750,1245,25 kg,female,30
62,BB Royal,350,280,5 kg,female,30
63,Fresho,50,39,200 ml,female,30
64,Fresho,200,151,4x200 ml,female,30
65,Fresho,300,219,6x200 ml,female,30
66,Fresho,400,288,8x200 ml,female,30
67,Fresho,600,417.6,12x200 ml,female,30
68,Fresho,1200,806.4,24x200 ml,female,30
69,BORGES,1400,728,1 L,female,30
70,BORGES,6000,3060,5 L,female,30
71,BORGES,2700,1377,2 L,female,30
72,Fresho,135,99,500 g,female,30
73,Fresho,480,378,2x1 kg,female,30
74,Fresho,240,189,1 Kg,female,30
75,Fresho,270,198,2x500 g,female,30
76,Red Label,650,567,1 kg,female,30
77,Red Label,170,151,250 g,female,30
78,Red Label,330,296,500 g,female,30
79,Red Label,65,65,100 g,female,30
80,Eveready,360,261.9,2 x 10 pcs,female,30
81,Eveready,180,135,10 pcs,female,30
82,Taj Mahal,800,730,1 Kg,female,30
83,Taj Mahal,410,391,500 g,female,30
84,Taj Mahal,90,90,100 g,female,30
85,Taj Mahal,220,220,250 g,female,30
86,Fresho,31.82,24.5,500 g,female,30
87,Fresho,63.64,49,1 kg,female,30
88,Fresho,15.91,12.25,250 g,female,30
89,Pedigree,105,105,400 g,female,30
90,Pedigree,285,256.5,1.2 kg,female,30
91,Pedigree,1390,1223.2,6 kg,female,30
92,Pedigree,725,562,3 kg,female,30
93,Pedigree,3160,2686,15 kg,female,30
94,Pedigree,2220,1887,10 kg,female,30
95,Dettol,66.55,66.55,125 ml,female,30
96,Dettol,127.77,127.77,250 ml,female,30
97,Dettol,214.06,214.06,550 ml,female,30
98,Dettol,1641.59,1641.59,5 L,female,30
99,Dettol,331.41,331.41,1 L,female,30
100,Dettol,33.27,33.27,60 ml,female,30
101,BB Royal,600,380,1 kg,female,30
102,BB Royal,300,192,500 g,female,30
103,BB Royal,30,20,50 g,female,30
104,BB Royal,120,78,200 g,female,30
105,BB Royal,60,40,100 g,female,30
106,Nandini,28,28,500 ml,female,30
107,Pedigree,600,494,70 g,female,30
108,Nandini,60,60,1 L,female,30
109,Tata Tea Gold,620,527,1 kg,female,30
110,Tata Tea Gold,145,145,250 g,female,30
111,Tata Tea Gold,285,232,500 g,female,30
112,Tata Tea Gold,40,40,100 g,female,30
113,Tata Tea Gold,885,708,1.5 Kg,female,30
114,Fortune ,189,181,1 L,female,30
115,Fortune ,567,534,3x910 g,female,30
116,Dove,128,128,2x75 g,female,30
117,Dove,840,651.64,3x(3x125 g),female,30
118,Dove,64,64,100 g,female,30
119,Dove,944,802,5x100 g,female,30
120,Dove,870,696,100 g,female,30
121,Dove,472,401,125 g,female,30
122,Dove,384,345.6,6x100 g,female,30
123,Dove,280,230,125 g,female,30
124,Dove,512,512,8x75 g,female,30
125,Nescafe ,95,90,50 g,female,30
126,Nescafe ,795,795,500 g,female,30
127,Nescafe ,785,785,1 kg,female,30
128,Nescafe ,190,190,100 g,female,30
129,Nescafe ,10,10,10 g,female,30
130,Nescafe ,5,5,5.5 g,female,30
131,Nescafe ,380,338,200 g,female,30
132,Dabur,170,134.4,2x250 ml,female,30
133,Dabur,85,72,250 ml,female,30
134,Dabur,50,45,120 ml,female,30
135,Amul,255,251,500 g,female,30
136,Amul,104,99.96,2x100 g,female,30
137,Amul,510,502,2x500 g,female,30
138,Amul,156,149.94,3x100 g,female,30
139,Amul,52,51,100 g,female,30
140,Amul,208,204,4x100 g,female,30
141,Milky Mist,46,45,500 g,female,30
142,Milky Mist,92,89,2x500 g,female,30
143,BB Royal,160,99,1 kg,female,30
144,BB Royal,320,194,2 kg,female,30
145,BB Royal,80,51,500 g,female,30
146,BB Royal,60,45,1 kg,female,30
147,BB Royal,120,86,2 kg,female,30
148,BB Royal,30,24,500 g,female,30
149,BB Royal,300,225,5x1 kg,female,30
150,BB Royal,90,69,500 g,female,30
151,BB Royal,180,135,1 kg,female,30
152,Pepsi,35,33.25,250 ml,female,30
153,BB Royal,40,35,500 g,male,30
154,BB Royal,80,58,1 kg,male,30
155,Pampers ,399,361,16 pcs,male,30
156,Pampers ,1199,841.5,42 pcs,male,30
157,BB Popular,200,139,1 kg,male,30
158,BB Popular,100,71,500 g,male,30
159,BB Royal,150,80,500 g,male,30
160,BB Royal,30,17,100 g,male,30
161,BB Royal,300,158,1 kg,male,30
162,BB Royal,60,32,200 g,male,30
163,BB Royal,675,549,500 g,male,30
164,BB Royal,1299,1089,1 kg,male,30
165,BB Royal,140,125,100 g,male,30
166,BB Royal,375,235,200 g,male,30
167,Fresho,45.45,21.5,500 g,male,30
168,Fresho,90.91,43,1 kg,male,30
169,Cello,1236,714,6x1 L,male,30
170,Cello,206,119,1 L,male,30
171,Cello,618,267,3x1 L,male,30
172,Cello,412,178,2x1 L,male,30
173,Fresho,87.66,58.5,1 kg,male,30
174,Fresho,21.92,15,250 g,male,30
175,Fresho,43.83,29.5,500 g,male,30
176,Quaker,199,179,1 Kg,male,30
177,Quaker,79,72.5,400 g,male,35
178,Quaker,175,130,600 g,male,35
179,Quaker,292,229,1.5 Kg,male,35
180,Quaker,338,338,2 Kg,male,35
181,BB Home,210,99,1 pc,male,35
182,BB Royal,38,26,500 g,male,35
183,BB Royal,75,49,1 kg,male,35
184,Fresho,228.26,160.5,Combo,male,35
185,Vaseline,399,219.45,400 ml,male,35
186,Fresho,37.66,24.5,1 kg,male,35
187,Fresho,18.83,12.5,500 g,male,35
188,BB Royal,499,375,5 kg,male,35
189,BB Royal,60,43,500 g,male,35
190,BB Royal,119,83,1 kg,male,35
191,BB Royal,229,155,2 kg,male,35
192,BB Royal,75,45,500 g,male,35
193,BB Royal,150,89,1 kg,male,35
194,BB Royal,60,41,1 kg,male,35
195,BB Royal,30,22,500 g,male,35
196,Pampers ,2299,1559.5,88 pcs,male,35
197,Pampers ,320,290.5,13 pcs,male,35
198,Pampers ,799,610,30 pcs,male,37
199,Pampers ,3597,2311,132 pcs,male,37
200,Pampers ,1199,862,44 pcs,male,37
201,Polyset,139,99,4.5 L,male,37
202,BB Royal,100,71,500 g,male,37
203,BB Royal,200,139,1 kg,male,37
204,BB Royal,400,274,2 kg,male,37
205,Mountain Dew,35,33.25,250 ml,male,37
206,Fresho,96.1,74,1 kg,male,37
207,Fresho,48.05,37,500 g,male,37
208,Dettol,80,70.4,2x75 g,male,37
209,Dettol,402,302.4,6x125 gm,male,37
210,Dettol,536,383.04,8x125 g,male,37
211,Dettol,240,225.6,6x75 g,male,37
212,Dettol,134,110.88,2x125 g,male,37
213,Dettol,268,209.16,4x125 g,male,37
214,Dettol,40,40,75 g,male,37
215,Dettol,67,63,125 g,male,37
216,BB Royal,65,48,1 kg,male,39
217,BB Royal,325,240,5 kg,male,39
218,BB Royal,600,440,10 kg,male,39
219,BB Royal,130,93,2 kg,male,39
220,BB Royal,68,59,1 kg,male,39
221,BB Royal,330,245,5 kg,male,39
222,BB Royal,35,35,500 g,male,39
223,BB Royal,136,114,2x1 kg,male,39
224,BB Royal,650,448,10 kg,male,39
225,Fresho,69.48,28,250 g,male,39
226,Fresho,138.96,55.5,500 g,male,39
227,Fresho,57.14,22.5,200 g,male,39
228,Fresho,27.79,11.5,100 g,male,39
229,Fresho,277.92,110.5,1 kg,male,39
230,BORGES,299,149.5,500 g,male,39
231,bb Combo,508,331.5,Combo,male,39
232,Del Monte,1600,736,1 L,male,39
233,Fresho,605,429,1 kg,male,39
234,Fresho,360,211,500 g,male,39
235,Fresho,207,149,250 g,male,39
236,Fresho,141.56,82,1 kg,male,39
237,Fresho,35.39,20.5,250 g,male,39
238,BB Royal,210,155,1 kg,male,39
239,BB Royal,105,79,500 g,male,39
240,BB Royal,420,306,2 kg,male,39
241,Fresho,124.68,71.5,1 kg,male,39
242,Fresho,12.47,7.5,100 g,male,39
243,Fresho,31.17,18,250 g,male,39
244,Fresho,62.34,36,500 g,male,39
245,Happilo,550,334.5,2x200 g,male,39
246,Happilo,275,181,200 g,male,39
247,Fresho,101.3,68.5,Combo,male,39
248,Saffola,750,555,3X1 L,male,39
249,Saffola,250,185,1 L,male,39
250,Fresho,203.9,94,1 kg,male,39
251,Fresho,50.97,23.5,250 g,male,39
252,Fresho,101.95,47,500 g,male,39
253,BB Home,409,279,370 ml,male,39
254,BB Home,529,349,640 ml,male,39
255,BB Home,409,279,370 ml,male,39
256,BB Home,719,449,1.05 L,male,39
257,BB Royal,60,37,200 g,male,39
258,BB Royal,150,89,500 g,male,39
259,BB Royal,300,175,1 kg,male,39
260,BB Royal,30,19,100 g,male,39
261,BB Royal,80,60,1 kg,male,40
262,BB Royal,40,34,500 g,male,40
263,Ponds,175,122.5,100 g,male,40
264,Ponds,630,409.5,3x150 g,male,40
265,Ponds,349,226.85,200 g,male,40
266,Ponds,79,75.84,50 g,male,40
267,Ponds,210,136.5,150 g,male,40
268,BB Royal,270,181,Combo,male,40
269,BB Royal,135,94,Combo,male,40
270,BB Royal,270,181,Combo,male,40
271,BB Royal,430,238,2x2 kg,male,40
272,BB Royal,215,119,2 kg,male,40
273,BB Royal,110,69,1 kg,male,40
274,BB Royal,499,299,5 kg,male,40
275,Fresho,623,400,Combo,male,40
276,Fresho,623,400,Combo,male,40
277,BB Popular,140,97,1 kg,male,40
278,BB Popular,70,50,500 g,male,40
279,BB Royal,355,260,Combo,male,40
280,Pampers ,3597,2345.5,108 pcs,male,40
281,Pampers ,2299,1612,72 pcs,male,40
282,Pampers ,299,258,11 pcs,male,40
283,Pampers ,799,626.5,24 pcs,male,40
284,Pampers ,1199,867.5,36 pcs,male,40
285,BB Royal,95,52,500 g,male,40
286,BB Royal,189,99,1 kg,male,40
287,bb Combo,149.21,108.5,Combo,male,40
288,Maybelline New York,199,175,4 g,male,40
289,Happilo,335,220,200 g,male,40
290,Happilo,670,406.5,2x200 g,male,40
291,BB Royal,560,400.5,Combo,male,40
292,BB Royal,320,231,Combo,male,40
293,Tasties,90,65,150 g,male,40
294,Tasties,80,58.67,2x60 g,male,40
295,Tasties,180,125,2x150 g,male,40
296,Tasties,40,32,60 g,male,40
297,Eveready,360,261.9,2 x 10 pcs,male,40
298,Eveready,180,135,10 pcs,male,40
299,BB Royal,100,60,200 g,male,40
300,BB Royal,50,30,100 g,male,40
301,BB Royal,25,16,50 g,male,40
302,BB Royal,250,148,500 g,male,40
303,Fresho,11.56,7.5,100 g,male,40
304,Fresho,28.9,18,250 g,male,40
305,Fresho,57.79,36,500 g,male,40
306,Fresho,115.58,71.5,1 kg,male,40
307,Nivea,99,84,120 ml,male,40
308,Nivea,1197,796,3x400 ml,male,40
309,Nivea,399,279.3,400 ml,male,40
310,BB Royal,195,143,Combo,male,40
311,TRESemme,180,164,180 ml,male,40
312,TRESemme,75,75,80 ml,male,40
313,TRESemme,1035,649,1 L,male,40
314,TRESemme,335,285,340 ml,male,40
315,TRESemme,670,496,580 ml,male,40
316,BB Royal,450,254,2x50 g,male,40
317,BB Royal,225,127,50 g,male,40
318,BB Royal,449,249,100 g,male,40
319,BB Royal,130,53,20 g,male,40
320,Fresho,15.71,5.5,100 g,male,40
321,Fresho,39.29,13,250 g,male,40
322,Fresho,157.14,51,1 kg,male,40
323,Fresho,79.22,47,1 kg,male,40
324,Fresho,39.61,23.5,500 g,female,40
325,Nivea,1197,796,3x300 ml,female,40
326,Nivea,90,75,50 ml,female,40
327,Nivea,399,279.3,300 ml,female,40
328,Nivea,310,217,200 ml,female,40
329,Nivea,185,148,100 ml,female,40
330,Fresho,13.51,6.5,100 g,female,40
331,Fresho,135.06,61.5,1 kg,female,40
332,BB Popular,280,188,200 g,female,40
333,BB Popular,70,48,50 g,female,40
334,BB Popular,140,95,100 g,female,40
335,Fresho,71.43,39,1 kg,female,40
336,Fresho,17.86,10,250 g,female,40
337,Fresho,35.71,19.5,500 g,female,40
338,BB Royal,80,50,200 g,female,40
339,BB Royal,400,232,1 kg,female,40
340,BB Royal,200,120,500 g,female,40
341,BB Royal,400,225,200 g,female,40
342,BB Royal,200,115,100 g,female,40
343,Pampers ,1199,821,76 pcs,female,40
344,Pampers ,3149,1858,200 pcs,female,40
345,Pampers ,2399,1455.5,152 pcs,female,40
346,Pampers ,399,361,26 pcs,female,40
347,Pampers ,799,609.5,50 pcs,female,40
348,Dove,170,170,180 ml,female,40
349,Dove,740,524,650 ml,female,40
350,Dove,345,281,340 ml,female,40
351,Dove,999,607.5,1 L,female,40
352,Dove,72,72,80 ml,female,40
353,Fresho,1041,667.5,Combo,female,40
354,Fresho,1041,667.5,Combo,female,40
355,bb Combo,650,481,Combo,female,40
356,Happilo,455,320,200 g,female,40
357,BB Popular,150,95,100 g,female,40
358,Fresho,135.06,82,1 kg,female,40
359,Fresho,33.77,20.5,250 g,female,40
360,Fresho,67.53,41,500 g,female,40
361,Fresho,13.51,8.5,100 g,female,40
362,Raw Pressery,400,368,4x250 ml,female,40
363,Raw Pressery,200,144,2x250 ml,female,40
364,Raw Pressery,330,228,1 L,female,40
365,Raw Pressery,100,92,250 ml,female,40
366,Raw Pressery,660,390,2x1 L,female,40
367,Raw Pressery,300,276,3x250 ml,female,40
368,Raw Pressery,990,535.5,3x1 L,female,40
369,Raw Pressery,500,460,5x250 ml,female,40
370,Tata Sampann,44,33,500 g,female,40
371,Tata Sampann,88,82,1 kg,female,40
372,Fresho,609,438,Combo,female,40
373,BB Royal,925,619,10 kg,female,40
374,BB Royal,95,75,1 kg,female,40
375,BB Royal,470,349,5 kg,female,40
376,BB Royal,940,698,2x5 kg,female,40
377,BB Royal,1850,1238,2x10 kg,female,40
378,BB Royal,190,149,2 kg,female,40
379,Fresho,540,388,Combo,female,40
380,Fresho,763,548,Combo,female,40
381,Colgate,350,205.34,Combo,female,40
382,BB Royal,120,90,2 kg,female,40
383,BB Royal,300,210,5 kg,female,40
384,BB Royal,60,45,1 kg,female,40
385,Fresho,14.29,8.5,100 g,female,40
386,Fresho,639,408,Combo,female,40
387,BB Royal,120,78,2 kg,female,40
388,BB Royal,30,22,500 g,female,40
389,BB Royal,60,41,1 kg,female,40
390,Fresho,140.26,73.5,1 kg,female,40
391,Fresho,35.06,18.5,250 g,female,40
392,Fresho,70.13,37,500 g,female,40
393,Gillette,1299,1234,12 pcs,female,40
394,Gillette,899,854.05,8 pcs,female,40
395,Gillette,1560,1152.17,2x6 pcs,female,40
396,Gillette,260,216.5,2 pcs,female,40
397,Gillette,499,415,4 pcs,female,40
398,Gillette,1840,1472,16 pcs,female,40
399,Gillette,1260,907.2,10 pcs,female,40
400,Gillette,780,610,6 pcs,female,40
401,Fresho,679,488,Combo,female,40
402,bb Combo,526,356,Combo,female,40
403,BB Popular,150,93,1 kg,female,40
404,BB Popular,75,48,500 g,female,40
405,BB Popular,300,182,2 kg,female,40
406,BB Royal,835,612,Combo,female,40
407,BB Royal,465,314,Combo,female,40
408,Colgate,299,203.78,Combo,female,40
409,Fresho,748,538,Combo,female,40
410,BB Royal,40,29,500 g,female,40
411,BB Royal,80,55,1 kg,female,40
412,Vaseline,335,201,400 ml,female,40
413,Vaseline,37,27.75,40 ml,female,40
414,Vaseline,10,9.6,20 ml,female,40
415,bb Combo,594,424,Combo,female,40
416,Fresho,553,398,Combo,female,40
417,bb Combo,509,268.99,Combo,female,40
418,Fresho,663,469,Combo,female,40
419,Fresho,608,430.5,Combo,female,40
420,Fresho,609,438,Combo,female,40
421,Tasties,40,32,60 g,female,42
422,Tasties,90,65,150 g,female,42
423,Tasties,180,125,2x150 g,female,42
424,Tasties,80,58.67,2x60 g,female,42
425,Fresho,618,437.5,Combo,female,42
426,Fresho,618,437.5,Combo,female,42
427,Fresho,2342,555,Combo,female,42
428,Fresho,798,563.5,Combo,female,42
429,Fresho,743,525,Combo,female,42
430,BB Royal,1500,1050,1 kg,female,42
431,BB Royal,150,108,100 g,female,42
432,BB Royal,750,530,500 g,female,42
433,BB Royal,300,214,200 g,female,42
434,Godrej Protekt,199,183.08,1.5 L,female,42
435,Godrej Protekt,99,74,750 ml,female,42
436,BB Royal,789,591,Combo,female,42
437,Fresho,76.62,39,200 g,female,42
438,Fresho,101.31,81.05,3x100 g,female,42
439,Fresho,33.77,27.02,100 g,female,42
440,Nivea,398,218.9,2x50 ml,female,42
441,Nivea,199,159.2,50 ml,female,42
442,Fresho,36.36,22.5,1 pc,female,42
443,Colgate,580,393.6,4x100 g,female,42
444,Colgate,560,385,2x200 g,female,42
445,Colgate,290,221.4,2x100 g,female,42
446,Colgate,145,123,100 g,female,42
447,Colgate,88,88,50 g,female,42
448,Colgate,580,464,100 g,female,42
449,Colgate,280,192.5,200 g,female,42
450,BB Royal,70,49,500 g,female,42
451,BB Royal,140,89,1 kg,female,42
452,Kelloggs,190,190,375 g,female,42
453,Kelloggs,674,370.7,1.2 Kg,female,42
454,Kelloggs,5,5,11 g,female,42
455,Vaseline,210,178.5,200 ml,female,42
456,Vaseline,112,107,100 ml,female,42
457,Vaseline,435,239.25,400 ml,female,42
458,Yummiez,65,48.75,200 g,female,42
459,Yummiez,150,112.5,500 g,female,42
460,Yummiez,260,194,1 Kg,female,42
461,BORGES,2600,1172,2 L,female,42
462,BORGES,1350,675,1 L,female,42
463,bb Combo,745,515,Combo,female,42
464,bb Combo,375,277,Combo,female,42
465,BB Royal,270,175,Combo,female,42
466,BB Royal,1235,847,Combo,female,42
467,Nivea,519,363.3,400 ml,female,42
468,Nivea,1038,690.27,2x400 ml,female,42
469,Nivea,1557,1035.41,3x400 ml,female,42
470,Fresho,100,85,500 g,female,42
471,Fresho,200,139,1 kg,female,42
472,BB Popular,320,218,Combo,female,42
473,bb Combo,1450,973,Combo,female,42
474,BB Popular,1600,1087,Combo,female,42
475,BB Popular,640,440,Combo,female,42
476,Nivea,398,218.9,2x50 ml,female,42
477,Nivea,199,159.2,50 ml,female,42
478,Cello,412,178,2x1 L,female,42
479,Cello,206,119,1 L,female,42
480,Cello,206,119,1 L,female,42
481,Cello,1236,714,6x1 L,female,42
482,Cello,1236,714,6x1 L,female,42
483,Cello,618,267,3x1 L,female,42
484,Cello,618,267,3x1 L,female,42
485,BB Royal,180,97,100 g,female,42
486,BB Royal,360,192,200 g,female,42
487,BB Royal,900,480,500 g,female,42
488,BB Royal,1800,955,1 kg,female,42
489,BB Royal,50,36,500 g,female,42
490,BB Royal,100,70,1 kg,female,42
491,Whisper ,190,177,15 pcs,female,42
492,Whisper ,90,88,7 pcs,female,42
493,Whisper ,400,400,15 pcs,female,42
494,Whisper ,570,422,44 pcs,female,42
495,Whisper ,350,333,27 pcs,female,42
496,Ariel,309,309,1 kg,female,42
497,Ariel,605,406,2 kg,female,45
498,Ariel,160,160,500 g,female,45
499,Ariel,1380,1269.6,4 kg,female,45
500,Real,115,99,1 L,female,45
501,Real,20,16,180 ml,female,45
502,Real,230,194.04,2x1 L,female,45
503,Real,345,291.06,3x1 L,female,45
504,BB Royal,1000,545,500 g,female,45
505,BB Royal,200,115,100 g,female,45
506,BB Royal,400,220,200 g,female,45
507,BB Royal,2000,1085,1 kg,female,45
508,Gillette,1570,1334.5,6 pcs,female,45
509,Gillette,2150,1548,10 pcs,female,45
510,Gillette,1649,1566,8 pcs,female,45
511,Gillette,1000,950,4 pcs,female,45
512,Gillette,550,522.5,2 pcs,female,45
513,Happilo,425,318.75,200 g,female,45
514,BB Royal,139,99,1 kg,female,45
515,BB Royal,73,55,500 g,female,45
516,BB Royal,33,24,200 g,female,45
517,BB Royal,275,199,2 kg,female,45
518,Eveready,495,332.3,Combo,female,45
519,Fresho,22.4,12.5,250 g,female,45
520,Fresho,89.61,69,1 kg,female,45
521,BB Royal,40,26,500 g,female,45
522,BB Royal,80,49,1 kg,female,45
523,BB Royal,449,299,2 kg,female,45
524,BB Royal,999,699,5 kg,female,45
525,BB Royal,225,152,1 kg,female,45
526,BB Royal,115,82,500 g,female,45
527,BB Royal,1209,897,Combo,female,45
528,BB Royal,50,36,200 g,female,45
529,bb Combo,335,240,Combo,female,45
530,HappyChef,310,182.38,2x500 g,female,45
531,HappyChef,155,99,500 g,female,45
532,Fresho,1387,916.5,Combo,female,45
533,Fresho,18.5,14.25,100 g,female,45
534,Fresho,46.26,34.5,250 g,female,45
535,Fresho,185.04,138,1 kg,female,45
536,Fresho,314.29,251.43,500 g,female,45
537,Fresho,133.77,82,200 g,female,45
538,Fresho Organic,660,419,500 ml,female,45
539,Fresho Organic,1300,729,1 L,female,45
540,Fresho Organic,2600,1368,2x1 L,female,45
541,BB Popular,1000,667,Combo,female,45
542,Fresho,141.56,69.5,1 kg,female,45
543,Fresho,35.39,17.5,250 g,female,45
544,BB Royal,270,192,Combo,female,45
545,bb Combo,350,218,Combo,female,45
546,BB Royal,1099,649,500 g,female,45
547,BB Royal,898,598,2x200 g,female,45
548,BB Royal,449,299,200 g,female,45
549,BB Royal,225,155,100 g,female,45
550,BB Royal,90,66,500 g,female,45
551,BB Royal,180,129,1 kg,female,45
552,BB Royal,40,28,200 g,female,45
553,Himalaya Baby,170,122,200 ml,female,45
554,Himalaya Baby,300,219.5,400 ml,female,47
555,Himalaya Baby,95,90.25,100 ml,female,47
556,Polyset,409,229,5.5 L,female,47
557,Fresho,21.1,12.5,250 g,female,47
558,Fresho,42.21,24.5,500 g,female,47
559,Fresho,84.42,49,1 kg,female,47
560,Axe,630,315.01,3x150 ml,female,47
561,Axe,210,147,150 ml,female,47
562,Axe,640,288.01,2x215 ml,female,47
563,Axe,320,176,215 ml,female,47
564,Lakme,340,238,2 pcs,female,47
565,Happilo,675,452.25,500 g,female,47
566,BB Popular,380,263,Combo,female,47
567,Laplast,539,249,1 L,female,47
568,Dettol,450,321.6,6x125 g,female,47
569,Dettol,600,407.36,8x125 g,female,47
570,Dettol,270,225.6,6x75 g,female,47
571,Dettol,45,40,75 g,female,47
572,Dettol,90,76.8,2x75 g,female,47
573,Dettol,300,222.44,4x125 g,female,47
574,Dettol,75,67,125 g,female,47
575,Asian,172,99,300 ml,female,47
576,BB Royal,150,71,500 g,female,47
577,BB Royal,70,30,200 g,female,47
578,BB Royal,290,139,1 kg,female,47
579,BB Home,219,149,1 pc,female,47
580,bb Combo,1050,719,Combo,female,49
581,BB Royal,55,37,500 g,female,49
582,BB Royal,110,72,1 kg,female,49
583,BB Royal,220,144,2x1 kg,female,49
584,Cadbury Dairy Milk,447,298.32,3x126 g,female,49
585,Cadbury Dairy Milk,149,113,126 g,female,49
586,Cadbury Dairy Milk,298,212.44,2x126 g,female,49
587,BB Popular,40,28,100 g,female,49
588,BB Popular,80,55,200 g,female,49
589,BB Popular,200,136,500 g,female,49
590,Daawat ,112,84,1 kg,female,49
591,Daawat ,560,429,5 kg,female,49
592,Ponds,280,182,150 g,female,49
593,Ponds,210,157.5,100 g,female,49
594,Ponds,840,546,3x150 g,female,49
595,Ponds,425,276.25,200 g,female,49
596,Ponds,115,110,50 g,female,49
597,Himalaya,300,228,300 ml,female,49
598,Himalaya,130,110,100 ml,female,49
599,Himalaya,470,308.43,2x200 ml,female,49
600,Himalaya,415,279,400 ml,female,49
601,Himalaya,600,409.21,2x300 ml,female,49
602,Himalaya,235,169,200 ml,female,49
603,Himalaya,75,67.5,50 ml,female,49
604,Fresho,44.81,27,500 g,female,49
605,Fresho,89.61,53.5,1 kg,female,49
606,Fresho,22.4,13.5,250 g,female,49
607,Sunsilk,62,62,80 ml,female,49
608,Sunsilk,300,276,360 ml,female,49
609,Sunsilk,615,424,650 ml,female,49
610,Sunsilk,135,132,180 ml,female,49
611,Sunsilk,890,763.5,1 L,female,49
612,BORGES,400,300,250 ml,female,50
613,BORGES,250,125,500 g,female,50
614,bb Combo,335,248,Combo,female,50
615,Dove,345,279,340 ml,female,50
616,Dove,740,524,650 ml,female,50
617,Dove,180,180,180 ml,female,50
618,Dove,72,72,80 ml,female,50
619,Dove,930,930,1 L,female,50
620,bb Combo,500,360.5,Combo,female,50
621,Kitchen Essentials,359,169,1.1 L,female,50
622,Pampers ,320,290,16 pcs,female,50
623,Pampers ,1199,908,54 pcs,female,50
624,Pampers ,2398,1567,108 pcs,female,50
625,Pampers ,799,639,38 pcs,female,50
626,Pampers ,3449,2276.5,162 pcs,female,50
627,AKAR,26,18,1 kg,female,50
628,bb Combo,470,322,Combo,female,50
629,Colgate,150,114,250 ml,female,50
630,Colgate,450,335.16,3x250 ml,female,50
631,Colgate,300,221.16,2x250 ml,female,50
632,Colgate,285,200,500 ml,female,50
633,BB Popular,300,199,1 kg,female,53
634,BB Popular,150,102,500 g,female,53
635,BB Popular,1360,955,Combo,female,53
636,bb Combo,435,286,Combo,female,53
637,Tata Coffee,230,163,500 g,female,53
638,Tata Coffee,75,67.5,200 g,female,53
639,Tata Coffee,37,35.15,100 g,female,53
640,BB Royal,175,132,2 kg,female,53
641,BB Royal,419,309,5 kg,female,53
642,BB Royal,775,599,10 kg,female,53
643,BB Royal,88,72,1 kg,female,53
644,BB Royal,838,618,2x5 kg,female,53
645,Energizer,90,49,2 pcs,female,53
646,Energizer,180,95.06,2 x 2 pcs,female,53
647,Asian,239,129,850 ml,female,53
648,Maybelline New York,374,267.4,Combo,female,53
